Origninal_ring,Replacement_ring,DateReplacement,Pit_tag,Gps_tag,GLS_tag,F_ring_additional,Remarks,In case of gps tagged birds remarks refers to month when gps tag was on bird
EE01102,,,,,,,,
EE01571,,,,,,,,
EE01539,,,,,,,,
EE01329,,,,,,,,
EE00734,,,,,,,,
EE01151,,,,,,,,
EE01150,,,,,,,,
EE01544,,,,,,,,
EE01421,,,,,,,,
EE01124,,,,,,,,
EE01105,EE03245,01/05/2018,,,,,,
EE01127,,,,,,,,
EE01801,,,,,,,,
EE01673,,,,,,,,
EE01354,,,,,,,,
EE01802,,,,,,,,
EE01230,,,,,,,,
EE00737,,,,,,,,
EE01676,,,,,,,,
EE01803,,,,,,,,
EE01662,,,,,,,,
EE00724,,,,,,,,
EE00742,,,,,,,,
EE01804,,,,,,,,
EE01554,,,,,,,,
EE00747,,,,,,,,
EE01805,,,,,,,,
EE00750,,,,,,,,
EE00746,EE03505,27/04/2017,,,,,,
EE01675,,,,,,,,
EE00743,,,,,,,,
EE00744,,,,,,,,
EE01550,,,,,,,,
EE01806,,,,,,,,
EE01807,,,,,,,,
EE00294,,,,,,,,
EE00741,EE02737,27/01/2016,,,,,,
EE01661,,,,,,,,
EE01808,,,,,,,,
EE01522,,,,,,,,
EE01809,,,,,,,,
EE01810,,,,,,,,
EE01674,,,,,,,,
EE01811,,,,,,,,
EE01812,,,,,,,,
EE01813,,,,,,,,
EE01655,,,,,,,,
EE01814,,,,,,,,
EE01815,,,,,,,,
EE01816,,,,,,,,
EE01817,,,,,,,,
EE01818,,,,,,,,
EE01819,,,,,,,,
EE01820,,,,,,,,
EE01821,,,,,,,,
EE01231,,,,,,,,
EE01373,,,,,,,,
EE01822,EE04339,29/04/2019,,,,,,
EE01823,,,,,,,,
EE01179,,,,,,,,
EE01824,,,,,,,,
EE01678,,,,,,,,
EE01825,,,,,,,,
EE01826,,,,,,,,
EE01827,,,,,,,,
EE01828,,,,,,,,
EE01106,EE03444,17/06/2018,,,,,,
EE01524,EE04031,04/07/2018,,,,,,
EE01829,,,,,,,,
EE01830,,,,,,,,
EE01851,,,,,,,,
EE01852,,,,,,,,
EE01853,,,,,,,,
EE01832,,,,,,,,
EE01854,,,,,,,,
EE01540,,,,,,,,
EE01833,,,,,,,,
EE01834,,,,,,,,
EE01835,,,,,,,,
EE01836,,,,Pinpoint49098,,,Mar-19,
EE01837,,,,,,,,
EE01855,,,,,,,,
EE01856,,,,,,,,
EE01857,,,,,,,,
EE01838,,,,,,,,
EE01839,,,,,,,,
EE01858,,,,,,,,
EE01859,,,,,,,,
EE01861,,,,,,,,
EE01862,,,,,,,,
EE01537,EE04174,18/06/2019,,,,,"ringed left, chick from 2009",
EE01841,,,,,,,,
EE01842,,,,,,,,
EE01843,,,,,,,,
EE01844,,,,,,,,
EE01840,,,,,,,,
EE01845,,,,,,,,
EE01846,,,,,,,,
EE01901,,,,Pathtrack40130,C4392,FF04830,May-19,
EE01902,,,,,,,,
EE01903,,,,,,,,
EE01904,,,,,,,,
EE01905,,,,,,,,
EE01847,,,,,,,,
EE01848,,,,,,,,
EE01849,,,,,,,,
EE01850,,,,,,,,
EE01864,,,,,,,,
EE01865,,,,,,,,
EE01866,,,,,,,,
EE01863,,,,,,,,
EE01906,EE04337,25/04/2019,,,,,old ring opening,
EE01907,,,,,,,,
EE01353,,,,,,,,
EE01908,,,,,,,,
EE01536,,,,,,,,
EE01318,,,,,,,,
EE01867,,,,,,,,
EE01868,,,,,,,,
EE01869,,,,,,,,
EE01870,,,,,,,,
EE01871,,,,,,,,
EE01872,,,,,,,,
EE01873,,,,,,,,
EE01874,,,,,,,,
EE01875,,,,,,,,
EE01909,,,,,,,,
EE01910,,,,,,,,
EE01911,EE03933,19/06/2018,,,,,,
EE01912,,,,,,,,
EE01913,,,,,,,,
EE01914,,,,,,,,
EE01915,EE03934,19/06/2018,,,,,,
EE01916,,,,,,,,
EE01917,EE04281,24/03/2019,,,,,,
EE01918,,,,,,,,
EE01919,,,,,,,,
EE01920,,,,,,,,
EE01876,,,,,,,,
EE01877,,,,,,,,
EE01227,,,,,,,,
EE01878,,,,,,,,
EE01879,,,,,,,,
EE01391,,,,,,,,
EE01577,,,,,,,,
EE01380,,,,,,,,
EE01881,,,,,,,,
EE01882,,,,,,,,
EE01883,,,,,,,,
EE01884,,,,,,,,
EE01880,,,,,,,,
EE01921,,,,,,,,
EE01922,,,,,,,,
EE01923,,,,,,,,
EE01924,EE03371,03/04/2018,,,,,,
EE01925,,,,,,,,
EE01926,,,,,,,,
EE01885,,,,,,,,
EE01376,,,,,,,,
EE01189,,,,,,,,
EE01927,,,,,,,,
EE01928,,,,,,,,
EE01929,,,,,,,,
EE01930,,,,,,,,
EE01931,,,,,,,,
EE01886,,,,,,,,
EE01887,,,,,,,,
EE01888,,,,,,,,
EE01889,,,,,,,,
EE01890,,,,,,,,
EE01891,,,,,,,,
EE01892,,,,,,,,
EE01893,,,,,,,,
EE01894,,,,,,,,
EE01895,,,,,,,,
EE01932,,,,,,,,
EE01896,,,,,,,,
EE01933,,,,,,,,
EE01934,,,,,,,,
EE01935,,,,,,,,
EE01936,,,,,,,,
EE01937,,,,,,,,
EE01939,,,,,,,,
EE01940,EE04176,18/06/2019,,,,,,
EE01897,,,,,,,,
EE01898,EE03932,19/06/2018,,,,,,
