Parameter,Mean,Median,SD,lcl,ucl
ann.surv[1],0.717290444804407,0.711904988076831,0.0174459854442684,0.700439448196676,0.763543846839317
ann.surv[2],0.710211389486351,0.707452669981303,0.00956566155135117,0.700285003292577,0.735393498862155
ann.surv[3],0.756715529442637,0.752515537813131,0.0354606408217411,0.703726077348593,0.835473307973751
ann.surv[4],0.836365809952529,0.835672783652124,0.0585973179005844,0.725885919058276,0.953702682665915
ann.surv[5],0.850543906651956,0.850665891786419,0.0312206151358886,0.788800494061933,0.9127987271235
ann.surv[6],0.977544412004769,0.982300099399424,0.0188048242226526,0.930091743795758,0.999304272844265
ann.surv[7],0.832389775266827,0.831744573746565,0.0368145212228736,0.761657961294121,0.906165427031499
ann.surv[8],0.899816609603309,0.900297337059817,0.0413474549067356,0.817831728841091,0.979698129154005
"N[1,1]",0.767133333333333,0,1.17201489020077,0,4
"N[2,1]",2.68943333333333,2,2.6750863316508,0,10
"N[3,1]",42.8260333333333,42,7.97721485215541,29,60
"N[4,1]",31.3958666666667,31,4.99653764405945,23,43
"N[5,1]",50.1257,49,8.13562776463117,36,68
"N[6,1]",50.5115333333333,50,8.95067618315474,36,71
"N[7,1]",177.7978,177,12.4162146904592,155,204
"N[8,1]",153.841366666667,153,12.6728274463149,130,180
"N[9,1]",192.421866666667,191,22.7369888259399,153,242
"N[1,2]",1.9171,1,2.38756869488798,0,8
"N[2,2]",267.6016,268,14.3091475111814,239,296
"N[3,2]",210.9208,210,8.16784046207608,196,228
"N[4,2]",253.1857,253,26.1959657796916,204,304
"N[5,2]",273.595366666667,273,14.3931955220097,247,303
"N[6,2]",276.578233333333,276,12.8426701799691,253,303
"N[7,2]",440.086333333333,439,29.9071590285826,386,502
"N[8,2]",461.212366666667,459,31.4945201142272,405,528
"N[9,2]",702.421766666667,699,61.1786741756038,593,831
"N[1,3]",207.578833333333,206,26.7630291128726,159,264
"N[2,3]",596.496833333333,595,30.1827437990595,541,659
"N[3,3]",555.266166666667,555,24.8499464647351,508,606
"N[4,3]",425.1219,423,30.2051394976374,372,490
"N[5,3]",553.768033333333,554,29.1739232087847,497,611
"N[6,3]",507.742866666667,507,21.191748050953,469,552
"N[7,3]",697.9968,698,27.7195382751362,644,753
"N[8,3]",584.124666666667,584,23.7165653936517,539,632
"N[9,3]",678.080166666667,677,33.9974293265278,614,748
"N[1,4]",0.950066666666667,0,1.37459193180674,0,5
"N[2,4]",3.80546666666667,3,3.77121963279868,0,14
"N[3,4]",99.6501666666667,99,9.66481748036591,82,120
"N[4,4]",72.9996666666667,72,9.24426931163621,57,93
"N[5,4]",60.2538333333333,59,9.21116515382312,45,80
"N[6,4]",85.0506333333333,84,10.1282059426835,67,106
"N[7,4]",103.987233333333,103,11.2982325467679,84,129
"N[8,4]",175.712533333333,175,15.9660533657369,147,210
"N[9,4]",162.1705,161,16.5699541901216,133,197
deviance,3320.44503738598,3314.93029349322,681.768390459138,2107.64875895724,4759.79639073172
