Parameter,Mean,Median,SD,lcl,ucl
ann.surv[1],0.844517387594217,0.840838075568479,0.0865688861946071,0.706607630105822,0.990666873895874
ann.surv[2],0.837187158409582,0.827793232947865,0.0886501101875372,0.706203724363804,0.992673038827144
ann.surv[3],0.839853175136028,0.834618165817556,0.0855357379349671,0.70622690136309,0.990748753766744
ann.surv[4],0.848826533680396,0.848939584461077,0.0873714464543667,0.707037997973345,0.994009043987223
ann.surv[5],0.845583125116048,0.841217153156053,0.086469217366626,0.708113883117196,0.992164672819791
ann.surv[6],0.853243422194896,0.856743314016803,0.0877183151815947,0.707681577347488,0.993529372367705
ann.surv[7],0.840098882355166,0.834824325884956,0.0843334237061463,0.707373210435213,0.991429408691795
ann.surv[8],0.847804568195899,0.845384700924529,0.0871559180208526,0.707466480619276,0.993305459798608
"N[1,1]",739.672666666667,718,425.069683613663,30,1421
"N[2,1]",1008.3618,1048,282.177470819804,293,1427
"N[3,1]",1028.1599,1033,200.860960458152,616,1389
"N[4,1]",966.295333333333,961,164.25030629193,671,1302
"N[5,1]",862.785033333333,848,168.000061775854,556,1221
"N[6,1]",750.6632,745,162.252187940594,448,1084
"N[7,1]",653.802833333333,647,163.23691178249,352,999
"N[8,1]",554.356233333333,547,150.832399961817,287,883
"N[9,1]",472.764633333333,467,138.196088853839,234,783
"N[1,2]",692.351266666667,665,417.373595997259,33,1451
"N[2,2]",981.3424,1040,305.961347515955,279,1426
"N[3,2]",1007.97193333333,1032.5,214.081704289428,473.975,1354
"N[4,2]",966.252133333333,971,167.294336849619,619,1310
"N[5,2]",876.908366666667,866,165.140075929966,576,1218
"N[6,2]",766.903033333333,765,158.10048900289,483,1084
"N[7,2]",667.9021,656,159.32134349151,397,1022
"N[8,2]",567.257833333333,554,150.520826817916,313,936
"N[9,2]",483.5509,468,138.546949386948,255,814
"N[1,3]",695.3369,647,433.382338288139,31,1457
"N[2,3]",982.522266666667,1031,303.894192047486,300,1420
"N[3,3]",1033.68543333333,1036,181.820583099458,657,1369
"N[4,3]",966.9502,962,168.022625579762,656,1306
"N[5,3]",866.0486,855,172.392009883122,575,1252
"N[6,3]",755.684666666667,733,170.297604819805,480,1155
"N[7,3]",657.484733333333,629,169.026006559026,402,1072
"N[8,3]",558.346266666667,531,158.347229512335,319,970
"N[9,3]",476.203033333333,451,145.739613049985,262,849
"N[1,4]",673.247066666667,580,460.837645094127,31,1473
"N[2,4]",961.814566666667,1044,334.411474806555,235.975,1437
"N[3,4]",1019.25966666667,1038,226.499122518475,508,1411
"N[4,4]",953.714,950,182.040187939369,617.975,1328
"N[5,4]",868.8032,857,178.980241369413,535,1248
"N[6,4]",768.492466666667,759,175.230960562244,437,1114
"N[7,4]",672.341433333333,658,175.262709925781,353.975,1023
"N[8,4]",572.5031,559,161.63192636268,292,917
"N[9,4]",490.681566666667,481,152.439837193818,235,855
deviance,3.00573672934294,2.37570488553222,2.43538695500922,0.217300603138889,9.38004407100073
