Errors,site,Cave_string,ringingDate,month,Year,Hour,HourTime,type,ringnumber,Replacement,age,sex,winglength,weight,billlength,billheight,tarsus,ringer,cave,nest_or_direction,remarks,sexed_by,tags,feather_sample,broodpatch,Prospector
0,"L-Ahrax Point, Mellieha",MT09_RM04A,01/11/2012,1,2012,18,18:00:00,R,EE01102,0,6,,,,,,,BLM Seabird Project,,," plus BM, nt",,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,01/11/2012,1,2012,19,19:00:00,R,EE01539,0,6,,,,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,01/11/2012,1,2012,18,18:00:00,R,EE01571,0,6,,,,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,02/11/2012,2,2012,18,18:00:00,R,EE00734,0,6,M,,,,,,BLM Seabird Project,,,male by call,call,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,02/11/2012,2,2012,19,19:00:00,R,EE01150,0,6,,,,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,02/11/2012,2,2012,18,18:00:00,R,EE01151,0,6,,,,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,02/11/2012,2,2012,18,18:00:00,R,EE01329,0,6,F,,,,,,BLM Seabird Project,,,female by call,call,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,02/11/2012,2,2012,19,19:00:00,R,EE01544,0,6,,,,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,17/03/2012,3,2012,20,20:00:00,R,EE01102,0,6,M,,360,,,,BLM Seabird Project,,,,cloaca & call,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04B,17/03/2012,3,2012,20,20:00:00,R,EE01105,0,6,M,,370,,,,BLM Seabird Project,,,,cloaca & call,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04B,17/03/2012,3,2012,19,19:00:00,R,EE01124,0,6,M,,410,,,,BLM Seabird Project,,,,cloaca & call,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,17/03/2012,3,2012,19,19:00:00,R,EE01421,0,6,M,,380,,,,BLM Seabird Project,,,,cloaca & call,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,17/03/2012,3,2012,20,20:00:00,R,EE01571,0,6,M,,290,,,,BLM Seabird Project,,,,cloaca & call,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04B,21/03/2012,3,2012,20,20:00:00,R,EE01127,0,6,,,330,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/04/2012,4,2012,1,01:00:00,R,EE01673,0,6,M,,,,,,BLM Seabird Project,,,,cloaca,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/04/2012,4,2012,1,01:00:00,N,EE01801,0,6,M,242,,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/08/2012,4,2012,21,21:00:00,R,EE01354,0,6,M,,400,,,,BLM Seabird Project,,,,cloaca,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/10/2012,4,2012,22,22:00:00,R,EE00724,0,6,M,,410,,,,BLM Seabird Project,,,male by Cloaca inspection,cloaca,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/10/2012,4,2012,21,21:00:00,R,EE00737,0,6,F,,,,,,BLM Seabird Project,,,regurgitate sample,cloaca & call,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/10/2012,4,2012,23,23:00:00,R,EE01102,0,6,M,,,,,,BLM Seabird Project,,,male by Cloaca inspection,cloaca,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/10/2012,4,2012,21,21:00:00,R,EE01230,0,6,M,,,,,,BLM Seabird Project,,,,cloaca,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/10/2012,4,2012,20,20:00:00,R,EE01354,0,6,M,,,,,,BLM Seabird Project,,,"coming back 2x more, possible tagging candidate?",cloaca,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/10/2012,4,2012,21,21:00:00,R,EE01421,0,6,M,,,,,,BLM Seabird Project,,,male by Cloaca inspection,cloaca,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/10/2012,4,2012,21,21:00:00,R,EE01571,0,6,M,,390,,,,BLM Seabird Project,,,male by Cloaca inspection,cloaca,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/10/2012,4,2012,22,22:00:00,R,EE01662,0,6,M,,370,,,,BLM Seabird Project,,,male by Cloaca inspection,cloaca,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/10/2012,4,2012,22,22:00:00,R,EE01673,0,6,M,,,,,,BLM Seabird Project,,,male by Cloaca inspection,cloaca,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/10/2012,4,2012,21,21:00:00,R,EE01676,0,6,M,,340,,,,BLM Seabird Project,,,male by Cloaca inspection,cloaca,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,04/10/2012,4,2012,20,20:00:00,N,EE01802,0,6,F,233,,,,,BLM Seabird Project,,,,,,,,0
