Errors,site,Cave_string,ringingDate,month,Year,Hour,HourTime,type,ringnumber,Replacement,age,sex,winglength,weight,billlength,billheight,tarsus,TH,middletoe,Head,BLnalopsi,ringer,cave,nest_or_direction,Tag details,BP,Notes,Prospector
,,MT22_StPauls_Nestboxledge,08/03/2024,3,2024,9,09:25:00,N,EE09200,0,4,,,360,,,,,,,,BLM seabird project,Nestbox ledge,NB15,,BP2,with partner EE04817,
,,MT22_StPauls_Nestboxledge,08/03/2024,3,2024,9,09:25:00,R,EE04817,0,4,,,385,,,,,,,,BLM seabird project,Nestbox ledge,NB15,,,with partner EE09200,
,,MT09_RM01,12/03/2024,3,2024,12,12:12:00,R,EE04542,0,4,,,390,,,,,,,,BLM seabird project,RM01 ,NB27,,,on egg,0
,,MT09_RM01,12/03/2024,3,2024,12,12:15:00,R,EE09008,0,4,,,345,,,,,,,,BLM seabird project,RM01,NB24,,,on egg,0
,,MT09_RM01,12/03/2024,3,2024,12,12:33:00,R,EE02730,0,4,,,420,,,,,,,,BLM seabird project,RM01,NB02 ,,,on egg,0
,,MT09_RM01,12/03/2024,3,2024,12,12:35:00,N,EE09666,0,4,,,400,,,,,,,,BLM seabird project,RM01,NB16,,,"on egg, egg small/dirty",0
,,MT09_RM01,12/03/2024,3,2024,12,12:40:00,R,EE03132,0,4,,,370,,,,,,,,BLM seabird project,RM01,NB18,,,with partner EE04815,
,,MT09_RM01,12/03/2024,3,2024,12,12:40:00,R,EE04815,0,4,,,335,,,,,,,,BLM seabird project,RM01,NB18,,,with partner EE03132,
,,MT09_RM01,12/03/2024,3,2024,12,12:45:00,R,FF03205,0,4,,,360,,,,,,,,BLM seabird project,RM01,NB20,,,on egg,0
,,MT09_RM01,12/03/2024,3,2024,12,12:50:00,R,EE06836,0,4,,,330,,,,,,,,BLM seabird project,RM01,NB22,,,on egg,0
,,office,18/03/2024,3,2024,18,18:47:00,N,EE09667,0,4,,,290,,,,,,,,BLM seabird project,released after rehab,rescued from entangled fishing line 07/03/2024 Blue Grotto,,,,
,,MT09_RM05BT,18/03/2024,3,2024,19,19:21:00,N,EE09668,0,4,,,400,,,,,,,,BLM seabird project,Butter Cave,way in,,,during nest check,
,,MT09_RM01,18/04/2024,4,2024,14,14:15:00,R,EE09007,0,4,,,370,,,,,,,,BLM seabird project,RM01,NB22,,,on egg,
,,MT09_RM01,18/04/2024,4,2024,14,14:20:00,R,FF03205,0,4,,,350,,,,,,,,BLM seabird project,RM01,NB20,,,on egg but cracked? ,
,,MT09_RM01,18/04/2024,4,2024,14,14:20:00,N,EE09656,0,4,,,320,,,,,,,,BLM seabird project,RM01,NB19,,,no egg,
,,MT09_RM01,18/04/2024,4,2024,14,14:25:00,R,EE04039,0,4,,,335,,,,,,,,BLM seabird project,RM01,NB23,,,on egg,
,,MT09_RM01,18/04/2024,4,2024,14,14:30:00,R,EE03132,0,4,,,320,,,,,,,,BLM seabird project,RM01,NB18,,,on egg,
,,MT09_RM01,18/04/2024,4,2024,14,14:30:00,R,FF03203,0,4,,,340,,,,,,,,BLM seabird project,RM01,NB02,,,on egg,
