Errors,site,Cave_string,ringingDate,month,Year,Hour,HourTime,type,ringnumber,Replacement,age,sex,winglength,weight,billlength,billheight,tarsus,TH,middletoe,Head,BLnalopsi,ringer,cave,nest_or_direction,Tag details,BP,Notes,Prospector,
,,MT09_RM01,28/02/2025,2,2025,11,11:15,R,FF03205,0,4,,,345,,,,,,,,BLM seabird project,Big Crack,NB20,,,on egg ,,Egg L 58.0 W 41.8
,,MT22_StPauls_Nestboxledge,17/03/2025,3,2025,14,14:15,R,EE04096,0,4,,,345,,,,,,,,BLM seabird project,Nest box ledge,NB03,,,on egg,,
,,MT22_StPauls_Nestboxledge,17/03/2025,3,2025,14,14:20,R,EE04817,0,4,,,370,,,,,,,,BLM seabird project,Nest box ledge,NB15,,,on egg,,
,,MT09_RM01,11/03/2025,3,2025,14,14:15,R,EE06579,0,4,,,390,,,,,,,,BLM seabird project,Underboulder,NB07,,,on egg,,
,,MT09_RM01,11/03/2025,3,2025,14,14:20,R,EE09658,0,4,,,400,,,,,,,,BLM seabird project,Underboulder,NB10,,,on egg,,
,,MT09_RM01,11/03/2025,3,2025,14,14:35,R,EE02730,0,4,,,375,,,,,,,,BLM seabird project,Big Crack,NB02,,,on egg,,Egg L 57.5 W 39.9
,,MT09_RM01,11/03/2025,3,2025,14,14:35,R,EE09070,0,4,,,325,,,,,,,,BLM seabird project,Big Crack,NB16,,,on egg,,
,,MT09_RM01,11/03/2025,3,2025,14,14:40,R,EE04229,0,4,,,335,,,,,,,,BLM seabird project,Big Crack,NB23,,,on egg,,Egg L 54.3 W 41.0
,,MT09_RM01,11/03/2025,3,2025,14,14:40,R,EE04226,0,4,,,365,,,,,,,,BLM seabird project,Big Crack,NB20,,,on egg,,
,,MT09_RM01,11/03/2025,3,2025,14,14:45,R,EE06836,0,4,,,335,,,,,,,,BLM seabird project,Big Crack,NB22,,,on egg,,Egg L 56.9 W 39.9 little crack in the egg from before weighing
,,MT09_RM01,11/03/2025,3,2025,14,14:40,R,FF04829,1,4,,,445,,,,,,,,BLM seabird project,Big Crack,NB19,,,"on egg, previously also ringed with EE04228 but lost ring",,Egg L 58.9 W 41.8
,,MT09_RM01,11/03/2025,3,2025,14,14:50,R,EE04254,0,4,,,375,,,,,,,,BLM seabird project,Big Crack,NB27,,,on egg,,Egg L 57.1 W 41.2
,,MT17_Comino_Treasure,13/03/2025,3,2025,12,12:15,N,EE09258,0,4,,,,,,,,,,,BLM seabird project,Treasure cave Abseil ledge,NB07,,,on egg,,
,,MT09_RM01,08/04/2025,4,2025,15,15:00,R,FF03203,0,4,,,,,,,,,,,BLM seabird project,Big Crack,NB02,,,"dead inside nest box with wound to neck, no predation signs, trail camera images from cave of Scopoli's entering and then with feathers on beak",,
,,MT09_RM01,08/04/2025,4,2025,15,15:10,R,EE09666,0,4,,,420,,,,,,,,BLM seabird project,Big Crack,NB16,,,on egg,,
,,MT09_RM01,08/04/2025,4,2025,15,15:10,R,EE04229,0,4,,,370,,,,,,,,BLM seabird project,Big Crack,NB23,,,on egg,,
,,MT09_RM01,08/04/2025,4,2025,15,15:15,R,EE04815,0,4,,,360,,,,,,,,BLM seabird project,Big Crack,NB18,,,on egg,,
,,MT09_RM01,08/04/2025,4,2025,15,15:20,R,EE09006,0,4,,,370,,,,,,,,BLM seabird project,Big Crack,NB19,,,on egg,,
,,MT09_RM01,08/04/2025,4,2025,15,15:20,R,EE04226,0,4,,,390,,,,,,,,BLM seabird project,Big Crack,NB20,,,on egg,,
,,MT09_RM01,08/04/2025,4,2025,15,15:20,R,EE06836,0,4,,,340,,,,,,,,BLM seabird project,Big Crack,NB22,,,on egg,,
,,MT09_RM01,08/04/2025,4,2025,15,15:25,R,EE09008,0,4,,,400,,,,,,,,BLM seabird project,,NB25,,,on egg,,
,,MT09_RM01,08/04/2025,4,2025,15,15:40,R,EE04254,0,4,,,380,,,,,,,,BLM seabird project,Fig tree,NB27,,,on egg,,
,,MT09_RM01,08/04/2025,4,2025,15,15:50,N,EE09266,0,4,,,440,,,,,,,,BLM seabird project,Underboulder,NB07,,,on egg,,
,,MT09_RM01,08/04/2025,4,2025,15,15:55,R,EE09658,0,4,,,420,,,,,,,,BLM seabird project,Underboulder,NB10,,,on egg,,
,,MT09_RM01,08/04/2025,4,2025,15,15:55,N,EE09267,0,4,,,350,,,,,,,,BLM seabird project,Underboulder,NB14,,,on egg,,
,,MT24_Majjistral_Thomas,22/04/2025,4,2025,20,20:26,R,EE02625,0,4,,,410,,,,,,,,BLM seabird project,Thomas cave,way in,,,,,
,,MT24_Majjistral_Thomas,22/04/2025,4,2025,20,20:32,R,EE04548,0,4,,,390,,,,,,,,BLM seabird project,Thomas cave,way in,,,wet,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,20,20:41,N,EE09268,0,4,,,430,,,,,,,,BLM seabird project,Eggshell cave,way in,,,vomitted,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,21,21:10,R,EE03118,0,4,,,390,,,,,,,,BLM seabird project,Eggshell cave,way in,EE03118 replaced with EE09269,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,21,21:10,R,EE09269,1,4,,,390,,,,,,,,BLM seabird project,Eggshell cave,way in,EE03118 replaced with EE09269,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,21,21:22,N,EE09270,0,4,,,410,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_Thomas,22/04/2025,4,2025,21,21:43,R,EE02204,0,4,,,390,,,,,,,,BLM seabird project,Thomas cave,way in,EE02204 replaced with EE09271,,,,
,,MT24_Majjistral_Thomas,22/04/2025,4,2025,21,21:43,R,EE09271,1,4,,,390,,,,,,,,BLM seabird project,Thomas cave,way in,EE02204 replaced with EE09271,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,22,22:01,N,EE09272,0,4,,,415,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_Thomas,22/04/2025,4,2025,22,22:21,R,EE06674,0,4,,,380,,,,,,,,BLM seabird project,Thomas cave,way in,EE06674 replaced with EE09273,,,,
,,MT24_Majjistral_Thomas,22/04/2025,4,2025,22,22:21,R,EE09273,1,4,,,380,,,,,,,,BLM seabird project,Thomas cave,way in,EE06674 replaced with EE09273,,,,
,,MT24_Majjistral_South_1,22/04/2025,4,2025,22,22:07,R,EE06956,0,4,,,410,,,,,,,,BLM seabird project,SOW1,way in,,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,20,20:36,R,EE04790,0,4,,,,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,20,20:38,R,EE03325,0,4,,,,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,20,20:38,R,EE06856,0,4,,,,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,20,20:41,R,EE04715,0,4,,,,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,20,20:49,R,EE09429,0,4,,,,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,20,20:56,R,EE04088,0,4,,,,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,21,21:27,R,EE03260,0,4,,,415,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,21,21:38,R,EE04251,0,4,,,380,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,21,22:16,R,EE03271,0,4,,,400,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,22,22:38,R,EE03733,0,4,,,485,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_Eggshell,22/04/2025,4,2025,22,22:41,R,EE04208,0,4,,,390,,,,,,,,BLM seabird project,Eggshell cave,way in,,,,,
,,MT24_Majjistral_South_4,22/04/2025,4,2025,20,20:30,R,EE04766,0,4,,,380,,,,,,,,BLM seabird project,SOW4,way in,,,,,
,,MT24_Majjistral_South_4,22/04/2025,4,2025,20,20:36,R,EE03859,0,4,,,380,,,,,,,,BLM seabird project,SOW4,way in,,,,,
