Cave_ID,Cave_String,Year,Date,start_time,end_time,Taken_from_first-last_bird,hours,number_persons,net_length,only_nest_check,Only_during_day,Notebook,Remarks
,MT09_RM04A,2012,11/01/2012,18:00,20:30,NO,2.5,3,,NO,NO,datasheet,
,MT09_RM04A,2012,11/02/2012,17:00,19:45,NO,2.8,3,,NO,NO,datasheet,
,MT09_RM04A,2012,17/03/2012,18:35,21:05,NO,2.3,3,,NO,NO,datasheet,
,MT09_RM04B,2012,17/03/2012,18:35,21:05,NO,2.3,3,,NO,NO,datasheet,
,MT09_RM04A,2012,21/03/2012,19:00,21:00,NO,3,2,,NO,NO,datasheet,
,MT09_RM04B,2012,21/03/2012,19:00,21:00,NO,3,2,,NO,NO,datasheet,
,MT09_RM04A,2012,03/04/2012,23:00,03:00,NO,4,2,,NO,NO,01.12-05.13,
,MT09_RM04A,2012,08/04/2012,21:10,21:10,YES,1,2,,NO,NO,01.12-05.13,
,MT09_RM04A,2012,10/04/2012,20:30,23:08,YES,1.5,2,,NO,NO,01.12-05.13,
,MT09_RM04A,2012,12/04/2012,20:15,23:50,YES,3,1,,NO,NO,04.12_06.12,
,MT09_RM04A,2012,13/04/2012,20:40,05:00,NO,8.2,3,,NO,NO,04.12_06.12,
,MT09_RM04A,2012,15/04/2012,20:30,23:10,YES,2.5,1,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,17/04/2012,21:00,06:00,NO,9,1,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,18/04/2012,20:40,22:00,NO,1.2,2,,NO,NO,04.12_06.12,
,MT09_RM04A,2012,21/04/2012,21:00,00:00,NO,3,2,,NO,NO,04.12_06.12,
,MT09_RM04A,2012,24/04/2012,03:45,05:30,NO,1.75,2,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,24/04/2012,20:30,00:00,NO,3.5,1,,NO,NO,04.12_06.12,
,MT09_RM04A,2012,25/04/2012,21:05,00:30,NO,3.4,2,,NO,NO,04.12_06.12,
,MT09_RM04A,2012,26/04/2012,21:00,01:00,NO,4,2,,NO,NO,04.12_06.12,
,MT09_RM04A,2012,02/05/2012,02:50,05:15,NO,2.42,2,12,NO,NO,5.12,
,MT09_RM04A,2012,03/05/2012,21:30,00:30,NO,3,3,,NO,NO,04.12_06.12,
,MT09_RM04A,2012,07/05/2012,20:50,23:00,NO,2.17,2,,NO,NO,04.12_06.12,
,MT09_RM04A,2012,14/05/2012,00:20,04:45,NO,4.4,2,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,14/05/2012,21:30,01:00,NO,5.4,2,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,15/05/2012,21:00,00:50,NO,3.83,2,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,16/05/2012,21:00,05:00,NO,8,3,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,17/05/2012,21:15,04:45,NO,7.5,2,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,19/05/2012,21:25,03:25,NO,6,01/04/2020,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,20/05/2012,21:15,23:00,NO,1.75,2,,NO,NO,04.12_06.12,
,MT09_RM04A,2012,21/05/2012,21:10,01:00,NO,3.83,2,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,22/05/2012,21:20,01:40,NO,4.4,3,,NO,NO,04.12_06.12,
,MT09_RM04A,2012,23/05/2012,21:00,02:00,NO,5,2,,NO,NO,04.12_06.12,
,MT09_RM04A,2012,24/05/2012,00:00,05:00,NO,5,2,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,25/05/2012,23:00,04:30,NO,5.5,2,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,27/05/2012,21:20,01:55,NO,4.25,1,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,28/05/2012,21:05,00:00,NO,1.92,1,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,30/05/2012,22:30,01:30,NO,3,1,0,NO,NO,04.12_06.12,
,MT09_RM04A,2012,01/06/2012,23:45,03:00,NO,3.25,2,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,03/06/2012,21:45,04:30,NO,5.25,2,12,NO,NO,6.12,
,MT09_RM04A,2012,04/06/2012,23:00,04:30,NO,5.5,2,12,NO,NO,6.12,
,MT09_RM04A,2012,05/06/2012,21:45,05:00,NO,7.25,2,12,NO,NO,6.12,
,MT09_RM04A,2012,06/06/2012,21:30,01:30,NO,4,2,12,NO,NO,6.12,
,MT09_RM04A,2012,08/06/2012,21:00,04:30,NO,7.5,1,12,NO,NO,6.12,
,MT09_RM04A,2012,10/06/2012,22:30,02:30,NO,4,2,12,NO,NO,6.12,
,MT09_RM04A,2012,12/06/2012,21:15,01:30,NO,4.25,2,12,NO,NO,04.12_06.12,
,MT09_RM04A,2012,13/06/2012,21:00,04:45,NO,7.75,2,12,NO,NO,6.12,
,MT09_RM04A,2012,14/06/2012,22:05,04:45,NO,6.7,3,12,NO,NO,6.12,
