Original_ring,Replacement_ring,DateReplacement,DoubleTag,DoubleTagON,DoubleTagOff,LostRing,DoubleTagPeriod
EE00669,EE03182,2017-04-18,A71,2017-03-13,2018-04-10,1,393
EE01085,EE04238,2019-03-04,A52,2017-04-18,2020-05-11,0,1119
EE01087,"",,A66,2017-03-15,2017-06-19,0,96
EE01089,EE04088,2019-02-14,A98,2017-03-22,2021-05-21,0,1521
EE01701,EE03670,2018-04-30,A05,2017-05-12,2018-04-30,0,353
EE01702,EE04787,2018-05-01,A34,2017-03-14,2022-05-03,0,1876
EE01704,"",,A77,2017-04-18,2021-05-08,0,1481
EE01708,EE06857,2021-03-29,A25,2017-04-18,2021-03-29,0,1441
EE01712,"",,C08,2017-03-22,2017-05-12,0,51
EE01713,EE04251,2020-04-24,A14,2018-05-04,2022-05-24,0,1481
EE01719,EE03777,2018-04-30,C10,2017-04-17,2020-05-11,0,1120
EE01726,EE03428,2018-05-30,RED,2018-05-30,2021-05-19,0,1085
EE01732,"",,C09,2017-03-13,2021-04-28,0,1507
EE01747,EE04789,2021-05-15,A23,2017-03-14,2021-05-15,0,1523
EE01748,EE04786,2021-05-14,C20,2017-03-20,2021-05-14,0,1516
EE01901,"",,FF04830,2019-06-19,2019-07-03,0,14
EE02052,"",,C40,2018-05-04,2021-05-07,0,1099
EE02053,"",,A92,2017-03-15,2022-05-03,0,1875
EE02067,"",,A30,2017-05-26,2018-05-30,0,369
EE02069,"",,A78,2018-05-04,2021-05-16,0,1108
EE02089,"",,C30,2017-03-03,2020-05-11,0,1165
EE02094,"",,A81,2017-04-27,2021-05-08,0,1472
EE02095,"",,A15,2017-03-05,2021-05-22,0,1539
EE02114,"",,C24,2017-03-03,2017-05-12,0,70
EE02117,"",,A16,2017-03-05,2022-05-24,0,1906
EE02128,"",,A19,2017-03-05,2023-06-08,0,2286
EE02129,"",,A37,2017-03-14,2019-05-08,0,785
EE02130,"",,D03,2018-05-30,2021-05-08,0,1074
EE02202,"",,A87,2017-05-12,2019-06-03,0,752
EE02205,"",,C39,2018-03-24,2021-05-16,0,1149
EE02208,EE04343,2019-05-08,A00,2017-03-14,2019-05-08,1,785
