Parameter,Mean,Median,SD,lcl,ucl,Rhat,n.eff
"N[1,1]",0.6605,0,1.04869269858366,0,3,1.00206227476475,4600
"N[2,1]",2.41033333333333,2,2.39956653213573,0,9,1.00107331060493,2870
"N[3,1]",40.4063333333333,40,7.02709920541632,28,56,1.00107439948257,2061
"N[4,1]",29.7846666666667,29,4.42653708828785,22,39,1.00535422512779,375
"N[5,1]",47.8255,47,7.32395542976536,36,64,1.00224517983814,4832
"N[6,1]",51.7251666666667,51,7.95712590162583,39,70,1.00008444624736,6000
"N[7,1]",104.117833333333,104,8.84499788789282,88,123,0.999874889029388,6000
"N[8,1]",98.8885,98,9.23110339892584,82,119,1.00054048357623,6000
"N[9,1]",141.636833333333,141,11.6510758258714,120,166,1.00366856494906,645
"N[10,1]",135.369833333333,135,9.10753613816457,120,155,1.00069245634956,3261
"N[11,1]",122.187833333333,122,9.38500035575395,106,142,1.0021050529332,1702
"N[12,1]",150.619666666667,150,10.8518649880028,130,172,1.00177404060572,1513
"N[13,1]",147.305666666667,147,10.4350075604199,127,168,1.00864499408838,270
"N[14,1]",131.755666666667,131,12.2847922479646,110,158,1.01465070662901,199
"N[1,2]",1.66466666666667,1,2.116513995734,0,7,1.00172365648001,2029
"N[2,2]",217.674666666667,218,11.6315679847783,194,240,1.00132709530281,1612
"N[3,2]",186.192833333333,186,5.79044357929768,176,199,1.01531600282001,140
"N[4,2]",156.461333333333,155,10.7335318670019,140,182,1.00072479076224,5179
"N[5,2]",217.085166666667,217,10.2886129239176,199,239,1.00224678144763,1016
"N[6,2]",219.905,219,8.80503055609968,204,238,1.00013122051887,5700
"N[7,2]",229.895,229,12.0989409617288,207,254,1.00095180885436,3171
"N[8,2]",236.076666666667,236,11.1218585757321,215,259,0.999970468931461,6000
"N[9,2]",211.048166666667,211,9.98177268507678,193,232,1.0018981833087,1059
"N[10,2]",167.825166666667,167,7.68811536237543,154,184,1.01166859014206,184
"N[11,2]",160.6935,160,12.0787502299639,139,186,1.00253628105046,958
"N[12,2]",155.259666666667,154,12.2534592843393,134,182,1.00421402189636,984
"N[13,2]",153.161166666667,153,12.5492007333295,131,179,1.01349967281022,161
"N[14,2]",144.447333333333,143,15.3767454382346,118,179,1.01603514972002,138
"N[1,3]",117.803166666667,117,12.796381566772,94,145,1.00080510062888,2398
"N[2,3]",407.524666666667,407,12.6995119784044,384.975,434,1.00090405016225,3170
"N[3,3]",444.377,444,15.2959645687574,416,475,1.00001696036778,6000
"N[4,3]",347.52,346,18.168781396567,315,387,1.00410969492652,556
"N[5,3]",484.589,483,22.0110614647379,444,532,1.00285298064678,683
"N[6,3]",489.317833333333,489,16.5738125924463,458,523,1.00152380269327,4920
"N[7,3]",568.243333333333,568,22.8134871970195,526,614,1.00439322879738,667
"N[8,3]",594.111666666667,593,19.8144130802936,557,636,1.00120473588562,2264
"N[9,3]",578.088166666667,577,21.1412918008509,539,622,0.999825506742628,6000
"N[10,3]",554.663333333333,554,19.6543473846732,518,595,1.00033725938585,3467
"N[11,3]",549.909166666667,549,22.8716440450275,506,596,1.0000868043486,6000
"N[12,3]",639.025166666667,639,24.9562417504307,587,687,1.03085006167356,75
"N[13,3]",614.223333333333,615,23.7863985157053,564,659,1.04015956559156,59
"N[14,3]",526.136,525,31.3240861063027,468,593,1.03625507263985,71
"N[1,4]",0.734166666666667,0,1.15385782061768,0,4,1.0038022173507,2110
"N[2,4]",2.88233333333333,2,2.88528601149295,0,10,1.00388521007248,934
"N[3,4]",90.387,90,7.91077289026091,76,107,1.00604718682068,501
"N[4,4]",64.8036666666667,64,7.00280608787694,53,80,1.0116993975984,286
"N[5,4]",61.9796666666667,61,7.23562798064328,49,77,1.00457449895969,545
"N[6,4]",89.1016666666667,89,9.64464447677584,72,110,1.00157476639678,2471
"N[7,4]",99.0061666666667,98,10.1155251608819,82,121,1.0025241805777,802
"N[8,4]",180.5535,180,12.3270757771745,158,206,1.00405396262736,600
"N[9,4]",150.957333333333,151,11.7678485685452,129,176,1.00329837505422,650
"N[10,4]",121.749166666667,121,9.02312688458671,105,140,1.00307968221521,896
"N[11,4]",109.785166666667,109,9.66848453677007,92,129,1.00137455274462,1358
"N[12,4]",108.436,108,9.06919395792745,92,127,1.00708008805113,305
"N[13,4]",112.705333333333,113,8.47082034723407,97,131,1.01191828158473,186
"N[14,4]",105.285,105,10.3821034965063,87,128,1.01220009166225,170
col.trend[1],0.818103962045128,0.810940129457191,0.0332653451338903,0.769924471153813,0.890561418538336,1.00093633047118,2261
col.trend[2],0.96702062132931,0.967029681032898,0.0101415673174411,0.947117268089878,0.986681447878864,1.00756427546369,262
col.trend[3],0.936343864751125,0.936123867725044,0.00632677239869466,0.924494511276198,0.949015998298226,1.01489618867414,158
col.trend[4],0.88655390563425,0.877356177797404,0.0308220468119144,0.844796762145893,0.955316232973629,1.00034067441905,6000
deviance,5742.95306616306,5978.64066010788,886.625575750932,3686.43574515666,6897.30076027383,1.58941234944622,8
