Parameter,Mean,Median,SD,lcl,ucl
"N[1,1]",0.7014,0,1.0901182715486,0,4
"N[2,1]",2.49195,2,2.46386614384242,0,9
"N[3,1]",41.15565,41,7.27104789878729,29,57
"N[4,1]",30.33575,30,4.56890612574678,23,40
"N[5,1]",47.7941,47,7.08313076040693,35,63
"N[6,1]",51.6333,51,8.09702561482076,38,70
"N[7,1]",177.2129,177,12.3017246404919,155,203
"N[8,1]",170.057883333333,169,12.6674138603461,147,197
"N[9,1]",211.1684,211,14.279089827907,184,240
"N[10,1]",189.441666666667,189,11.4123150399528,168,213
"N[11,1]",187.188833333333,187,12.0482444630798,165,212
"N[12,1]",206.135116666667,206,13.8049062441702,180,234
"N[13,1]",211.95915,211,14.0565076637464,186,241
"N[1,2]",1.81096666666667,1,2.24919631134242,0,8
"N[2,2]",225.184833333333,225,14.8411468885069,195,254
"N[3,2]",194.563816666667,194,7.7369088419749,180,211
"N[4,2]",204.4253,203,19.3331575993088,170,244
"N[5,2]",239.038266666667,239,12.6293900890128,216,265
"N[6,2]",258.8869,258,12.5944082317767,236,285
"N[7,2]",363.116533333333,363,21.6459556446961,322,406
"N[8,2]",383.061,382,20.221276600002,346,424
"N[9,2]",381.3459,381,15.7953942052096,352,413
"N[10,2]",310.98755,311,9.89413091490486,293,331
"N[11,2]",333.2698,333,18.7614091812931,298,371
"N[12,2]",285.114633333333,284,19.3509612214456,249,325
"N[13,2]",290.155716666667,289,21.1996421211968,251,334
"N[1,3]",131.617616666667,131,14.765324239573,105,163
"N[2,3]",446.567016666667,446,15.2767218910641,418,478
"N[3,3]",463.6471,463,16.6115460041405,432,497
"N[4,3]",360.420166666667,359,19.2351759329648,326,401
"N[5,3]",502.908416666667,502,23.551655437236,459,551
"N[6,3]",510.732833333333,510,18.2593896957362,476,548
"N[7,3]",611.531416666667,611,25.954912970088,562,663
"N[8,3]",632.231083333333,632,21.3237331515766,592,675
"N[9,3]",616.581116666667,616,23.2046143612684,572,664
"N[10,3]",607.388533333333,607,22.9276311420678,564,653
"N[11,3]",610.440483333333,610,24.6054366937805,563,659
"N[12,3]",616.578866666667,616,20.9617453939724,577,659
"N[13,3]",595.355,596,24.1028972842331,546,642
"N[1,4]",0.8536,0,1.26959071003592,0,4
"N[2,4]",3.392,2,3.37229776362301,0,12
"N[3,4]",94.5326,94,8.58876203849479,78,112
"N[4,4]",68.87535,68,7.43585237722233,55,85
"N[5,4]",66.6087833333333,66,7.88440458016004,53,84
"N[6,4]",91.20075,91,9.90099573777523,73,112
"N[7,4]",100.967366666667,100,10.2817993069715,83,123
"N[8,4]",180.732966666667,180,12.1927452849163,158,206
"N[9,4]",153.490683333333,153,11.4951793745119,132,177
"N[10,4]",123.880583333333,124,8.93527393602051,108,142
"N[11,4]",128.417766666667,128,10.954948860095,108,151
"N[12,4]",113.8718,114,9.83732743060073,96,134
"N[13,4]",123.547966666667,123,10.5237657246019,104,146
ann.surv[1],0.76401175006459,0.752695435639983,0.0500228397357919,0.702284342425122,0.886123476612018
ann.surv[2],0.750394576172593,0.748539980693839,0.0274385126397387,0.704676293861467,0.808025728035391
ann.surv[3],0.755469182455946,0.752859632614659,0.0304169526564907,0.705676314170184,0.821576690018476
ann.surv[4],0.938027058030232,0.944880822559565,0.041975978730658,0.841916135852584,0.996524818080525
ann.surv[5],0.877855418667338,0.878021946684884,0.0277452569570206,0.823834892114798,0.932718565189957
ann.surv[6],0.870016991966743,0.869832069409232,0.0304464268246261,0.810807567767689,0.930608607685727
ann.surv[7],0.935744951552666,0.937245988488251,0.0318785034495795,0.869549909870818,0.992205965360602
ann.surv[8],0.846376092989444,0.845515348269432,0.0324195970385763,0.784786483809177,0.911513986589419
ann.surv[9],0.77994127407762,0.779796732079083,0.0279765223258406,0.725417939221871,0.835812565731987
ann.surv[10],0.910819408683252,0.911022912179335,0.039805400082757,0.830743721571022,0.985176372115956
ann.surv[11],0.77091065732795,0.767800198759572,0.0394995520645752,0.706564508654408,0.85561020980719
ann.surv[12],0.958927556716617,0.965873689951752,0.0316906702011874,0.881739231443192,0.998385586458241
deviance,6120.44765724131,5942.77195775168,1159.61374680425,4305.35183876187,8680.14058265275
