Parameter,Mean,Median,SD,lcl,ucl,Rhat,n.eff
"N[1,1]",0.513666666666667,0,0.869447647699908,0,3,1.00316112937677,1473
"N[2,1]",2.02033333333333,1,2.08885465614963,0,7,1.00031742723387,6000
"N[3,1]",40.4433333333333,40,7.18665872058427,28,56,1.0031939664677,922
"N[4,1]",30.552,30,4.91365308751484,22,41,1.02139339299413,109
"N[5,1]",51.1645,50,8.82264583878325,37,71.0249999999996,1.00161913632901,1339
"N[6,1]",57.693,56,11.3066672567152,41,84,1.01313353355199,354
"N[7,1]",202.026333333333,194,28.4696691275515,164,270,1.02225576024801,167
"N[8,1]",198.8825,190,31.3771378747893,159,274,1.02368627516302,148
"N[9,1]",241.0825,231,34.7432805446919,195,325,1.05538847435089,66
"N[10,1]",220.707166666667,205,39.7536305322626,179,324.025,1.09755448926849,33
"N[11,1]",230.5085,213,46.6815751233039,180,356,1.08053384487642,41
"N[12,1]",277.432666666667,249,67.3257300384464,209,451,1.06623461826483,57
"N[13,1]",286.767666666667,257,70.0148939068231,214,465,1.05649359673089,66
"N[1,2]",1.42233333333333,1,1.82907776665409,0,6,1.00078775074094,5131
"N[2,2]",205.247333333333,205,16.3473453147199,174,237,1.0027769813401,723
"N[3,2]",194.632333333333,193,9.95124744826086,178,218,1.01631987325686,319
"N[4,2]",219.609,217,25.7040120416867,176,276,1.0271070646313,128
"N[5,2]",248.152666666667,244,20.5596159786709,218,297,1.02141819958632,191
"N[6,2]",276.579666666667,270,27.3917147612525,240,342,1.04610583591285,75
"N[7,2]",408.4635,396,49.5194241011601,341,529,1.05394420100346,65
"N[8,2]",434.954166666667,419,51.22087460829,368.975,554,1.04367475635063,99
"N[9,2]",435.048166666667,415,55.0947676179451,371,558,1.05981753283276,64
"N[10,2]",370.835166666667,342,64.60749970508,313,529,1.07518458441246,53
"N[11,2]",411.658833333333,382,77.2910112629054,329,607,1.06782418713699,58
"N[12,2]",400.7235,357,105.272049543801,290,664,1.06576292267342,67
"N[13,2]",414.225833333333,368.5,110.509527003627,297,707.025,1.06462979537618,86
"N[1,3]",114.301333333333,114,13.3515632890909,91,142,1.00064664951808,6000
"N[2,3]",428.9365,428,14.4262545573488,402,459,1.00877413253618,242
"N[3,3]",461.4575,458,23.548686103182,424,518,1.03010499815102,110
"N[4,3]",368.205,363,30.6175148191731,323,443,1.0448241768962,56
"N[5,3]",528.634,517,47.4416852172156,463,647,1.06363047971644,43
"N[6,3]",555.285166666667,535,57.3361586245526,490,705.049999999999,1.07389835643362,49
"N[7,3]",682.592333333333,654,83.8020401792935,585,897,1.04898741805415,93
"N[8,3]",724.776333333333,683,97.2761674238883,625,969.025,1.04849368965933,88
"N[9,3]",716.551666666667,671,111.460888142373,603,998,1.06361851710319,57
"N[10,3]",734.362833333333,673,138.806015852982,607,1084.025,1.06880384266013,53
"N[11,3]",768.488666666667,697,151.90217438641,623,1134,1.06497715360774,56
"N[12,3]",768.222,698,146.695667917737,633,1129,1.06709466340111,61
"N[13,3]",749.833666666667,683,146.614323856444,608,1114.025,1.06150160560903,68
"N[1,4]",0.7375,0,1.15404320512126,0,4,1.00468814017203,2046
"N[2,4]",3.49266666666667,2,3.95847923010737,0,13.0249999999996,1.01213417219497,866
"N[3,4]",93.5798333333334,93,9.24711909231591,76,113,1.01366265269174,231
"N[4,4]",71.9571666666667,70,10.9539032604058,55,98,1.04651338882237,61
"N[5,4]",71.6578333333333,69,12.6829241396853,53,104,1.05007007409994,118
"N[6,4]",98.4598333333333,96,14.8100847310376,77,135,1.02274951221669,198
"N[7,4]",111.680333333333,108,17.1228505772512,87,153.025,1.02326107487979,245
"N[8,4]",199.821833333333,195,23.5168222795352,167,258.025,1.02871537845711,128
"N[9,4]",178.458166666667,170,29.9829186794912,139,251,1.04464034533031,59
"N[10,4]",153.873833333333,140,35.585380451189,118,244,1.05753065709084,65
"N[11,4]",166.4065,151,41.2842381844501,123,275,1.05873248568941,57
"N[12,4]",164.033666666667,142,51.3300626252336,113,295,1.06020488485836,66
"N[13,4]",176.891833333333,155,53.4899741028835,123,310,1.05682327320677,68
ann.surv[1],0.76299954840247,0.752259734446225,0.0483623616370659,0.702449626139777,0.880399113237823,1.01128912033108,219
ann.surv[2],0.761520495013316,0.755696107697141,0.0380012978296781,0.705563247775269,0.85584486674918,1.05125052253243,71
ann.surv[3],0.770325393547795,0.76742511176314,0.0361786725123584,0.708812153733567,0.850745809511619,1.05949140058274,39
ann.surv[4],0.9487600706582,0.956044899267798,0.0366116361540097,0.859985437839744,0.997093284449189,1.0683388684932,55
ann.surv[5],0.89977080216414,0.897990769183269,0.03453872935713,0.838813948917361,0.966682185994485,1.10920735452255,23
ann.surv[6],0.901123438225979,0.897335954982731,0.0397467728013776,0.829354625532709,0.982541812183986,1.04663893594085,116
ann.surv[7],0.95596722650307,0.959842749018399,0.0302788713521055,0.888210963957642,0.998325287211047,1.02457224208668,173
ann.surv[8],0.877357592016937,0.871625597743443,0.0496727632047404,0.788139863660599,0.982003555351594,1.06475500402549,36
ann.surv[9],0.8203103810524,0.808287493957361,0.0541142403519758,0.745542621891691,0.963822133003722,1.06006711318037,67
ann.surv[10],0.954248793755617,0.961640965817357,0.0366094086804917,0.870333368874691,0.999046810350196,1.04041579171227,67
ann.surv[11],0.867721646209175,0.857738964308248,0.0784207504934301,0.72987159918398,0.996940195524043,1.02966877330601,2371
ann.surv[12],0.970984625203672,0.978377830776727,0.0253262721635525,0.905394989507861,0.99927973583119,1.00980124253884,1283
mu.ring.loss,-4.85399426431088,-4.7862556860396,0.614438407720282,-6.1605883487056,-3.83748549721277,1.37027287948462,10
tau.ring.loss,0.197399654165756,0.18044228616305,0.0717649541234735,0.105229175318226,0.365231406273148,1.487229044538,8
deviance,9574.31584247529,9232.50495611724,1525.01986887764,7374.39815353741,12768.1108441305,1.39746359993096,9
