Parameter,Mean,Median,SD,lcl,ucl,Rhat,n.eff
"N[1,1]",0.772177217721772,0,1.1544559428154,0,4,1.00196298205959,3860
"N[2,1]",2.88918891889189,2,2.76210933560016,0,10,1.00444206912923,724
"N[3,1]",45.5403540354035,45,8.16637524557878,32,63,1.04008601327598,63
"N[4,1]",45.3831383138314,45,7.90505013744418,32,63,1.00807082762105,423
"N[5,1]",69.7511751175118,69,12.7375484845992,48,98,1.01254569665392,216
"N[6,1]",89.936293629363,88,16.7955190392006,64,128,1.00072150027362,4826
"N[7,1]",326.886688668867,326,27.0146852743147,276,379,1.01661303821844,154
"N[8,1]",335.446444644465,334,27.1624422091252,284,387,1.01234160553569,207
"N[9,1]",405.566356635664,405,26.851085050532,356,463,1.19585812091377,15
"N[10,1]",423.547854785479,423,26.368423234947,374,480,1.28815121940233,11
"N[11,1]",447.138913891389,446,28.1462261568023,394,506,1.32059051466656,10
"N[12,1]",513.831783178318,513,30.1839149163015,457,569,1.18108151953806,17
"N[13,1]",525.276327632763,525,30.0151983685214,468,578,1.16167530647688,19
"N[14,1]",533.763476347635,534,30.880746206228,476,591,1.15923709626197,19
"N[1,2]",1.78477847784778,1,2.19395693162751,0,8,1.00106323471686,5413
"N[2,2]",228.931193119312,229,17.2022105933065,195,263,1.01979586019296,111
"N[3,2]",227.475547554756,227,10.2513508952113,208,248,1.00090151790424,3500
"N[4,2]",307.786278627863,308,29.1669533886687,250,364,1.09901230128401,25
"N[5,2]",341.842484248425,341,21.0524186766166,301,383,1.20242317076016,14
"N[6,2]",403.66196619662,403,22.7534764093797,361,449,1.27262971802742,11
"N[7,2]",620.638663866387,620,36.8539413340459,549,694,1.19219088193998,15
"N[8,2]",656.241724172417,654,31.9823865569395,599,724,1.24612149527988,12
"N[9,2]",674.629662966297,672,31.1228355130842,621,739,1.27104350221165,11
"N[10,2]",682.600360036004,680,31.1605022303916,628,746,1.26824442103515,11
"N[11,2]",769.851285128513,768,42.2327302787775,695,859,1.17254831606625,16
"N[12,2]",835.903090309031,830,55.5757180928799,740,954,1.17906658663252,16
"N[13,2]",882.838583858386,879,63.746261573583,769,1028.05,1.16020393100775,17
"N[14,2]",760.134313431343,751,80.2273628362275,628,945,1.15527919099835,17
"N[1,3]",118.169916991699,118,13.0199053256945,95,145,1.00309338105332,631
"N[2,3]",467.554755475548,467,18.7209580949297,433,506,1.05734434975104,41
"N[3,3]",576.321732173217,577,24.4386916321151,526,624,1.22625146055072,14
"N[4,3]",567.380838083808,567,29.8253799223948,511,627,1.34592445754337,10
"N[5,3]",807.527352735274,807,39.0461310115623,732,885,1.10919974186492,23
"N[6,3]",884.010301030103,884,33.732025788739,819,949,1.14355130488582,18
"N[7,3]",1115.0804080408,1115,46.5714216516573,1027,1210,1.08256798266386,30
"N[8,3]",1219.81088108811,1218,42.9590529884039,1142,1309,1.13574299951348,19
