Parameter,Mean,Median,SD,lcl,ucl
ann.surv[1],0.719733687863322,0.713577487570834,0.0201471796767763,0.700498583270396,0.774080669856595
ann.surv[2],0.712050908358941,0.708895534372816,0.0109944751263653,0.700334553300419,0.740571255552056
ann.surv[3],0.775373342769317,0.772532841426593,0.0405307561936339,0.70766777336452,0.860998773311362
ann.surv[4],0.815641363320285,0.811948723870007,0.0625005099280424,0.71008565450638,0.947668841557701
ann.surv[5],0.795654476068411,0.794948532141389,0.0354515990970556,0.728281809294669,0.8668287803057
ann.surv[6],0.966580565332851,0.972384893318702,0.0262220123613218,0.903767502666547,0.998864132562385
ann.surv[7],0.749440393743189,0.743380760450432,0.0346918887476962,0.702368594322439,0.831229771280939
"N[1,1]",0.670233333333333,0,1.06460871933294,0,4
"N[2,1]",2.40306666666667,2,2.43800507064957,0,9
"N[3,1]",55.6541333333333,55,7.25756148134556,43,71
"N[4,1]",44.2103,44,4.89548153245907,36,55
"N[5,1]",61.9386666666667,62,6.552938495234,50,75
"N[6,1]",45.6011666666667,45,7.24224506922246,33,62
"N[7,1]",121.338733333333,121,11.8295896393432,100,146
"N[8,1]",97.9343333333333,97,11.8758433698024,77,123
"N[1,2]",1.73096666666667,1,2.20006418276888,0,8
"N[2,2]",256.213733333333,256,14.0638132959629,229,284
"N[3,2]",202.9295,202,8.33554911984233,188,221
"N[4,2]",182.616233333333,181,14.5514815282171,159,216
"N[5,2]",245.419433333333,245,13.5672882842987,220,273
"N[6,2]",239.2635,239,11.7028158839367,218,264
"N[7,2]",277.803266666667,277,17.9928639771631,246,316
"N[8,2]",261.414866666667,260,20.8154668881327,225,306
"N[1,3]",192.614966666667,191,25.6327268133601,147,247
"N[2,3]",591.029366666667,590,31.5888318778784,533,657
"N[3,3]",537.401033333333,537,24.923766008958,491,589
"N[4,3]",417.994866666667,416,31.7704425373049,361,485
"N[5,3]",531.4924,531,29.4344076728552,476,592
"N[6,3]",469.373766666667,468,21.4328978624586,430,514
"N[7,3]",668.490833333333,669,28.9382209196285,611,726
"N[8,3]",499.8903,499,23.7965783635952,457,550
"N[1,4]",0.9391,0,1.35609211444531,0,5
"N[2,4]",4.41896666666667,3,4.63461069052882,0,17
"N[3,4]",93.2113666666667,93,9.1346449770558,76,112
"N[4,4]",72.0175333333333,71,9.41823316866932,55,92
"N[5,4]",58.598,58,9.17365073797025,43,79
"N[6,4]",76.1215333333333,76,9.29861881101787,59,96
"N[7,4]",92.0910333333333,91,10.3983949315649,74,115
"N[8,4]",168.981966666667,167,23.195136888539,130,221
deviance,2450.7792201664,2254.24381773211,772.650544993847,1486.92812673219,4386.06654210173
